model,provider,tokens_prompt,tokens_completion,tokens_reasoning,finish_reason,generation_time_ms,cost_total
hearth-70b,Steadfast,2104,372,0,stop,3318,2.056899
hearth-70b,Fastori,2423,345,1,stop,1856,2.597391
hearth-70b,Steadfast,2423,336,2,stop,3855,2.239656
hearth-70b,NimbusServe,2199,373,0,stop,83636,2.230348
hearth-70b,Fastori,2181,292,0,stop,1521,2.045796
hearth-70b,Coreline,2454,386,0,stop,2006,2.649529
hearth-70b,Steadfast,2769,298,4,stop,4691,2.884479
hearth-70b,NimbusServe,2706,240,3,stop,6415,2.538257
hearth-70b,Steadfast,1623,292,0,stop,4132,1.880220
hearth-70b,Steadfast,1899,426,3,stop,4059,2.069797
hearth-70b,Fastori,2108,385,0,stop,1347,2.450851
hearth-70b,NimbusServe,2323,323,0,stop,5734,2.419058
hearth-70b,NimbusServe,1776,363,0,stop,58650,1.851169
hearth-70b,Fastori,2559,190,5,stop,1279,2.343146
hearth-70b,Steadfast,1817,290,2,stop,4283,1.724447
hearth-70b,Coreline,2146,316,0,stop,2031,2.285117
hearth-70b,Steadfast,2174,258,3,stop,4234,2.249309
hearth-70b,Fastori,2771,307,0,stop,1299,2.538358
hearth-70b,Fastori,1846,290,3,stop,1368,1.878251
hearth-70b,Coreline,2163,180,0,stop,2680,2.258394
hearth-70b,Steadfast,1789,303,8,stop,16114,1.813065
hearth-70b,NimbusServe,2574,258,0,stop,5208,2.800174
hearth-70b,Steadfast,2468,355,0,stop,3422,2.307488
hearth-70b,NimbusServe,2638,439,0,stop,106645,2.623955
hearth-70b,Fastori,1641,309,1,stop,1499,1.823191
hearth-70b,Fastori,2489,341,0,stop,1051,2.718900
hearth-70b,NimbusServe,3038,278,0,stop,7319,2.789865
hearth-70b,Fastori,2642,485,0,stop,1422,2.920396
hearth-70b,NimbusServe,2303,267,2,stop,7429,2.393823
hearth-70b,NimbusServe,1849,305,2,stop,5448,1.790545
hearth-70b,Fastori,2206,337,0,stop,1237,2.094027
hearth-70b,Steadfast,3035,260,0,stop,3728,2.923395
hearth-70b,Fastori,2322,258,3,stop,1435,2.130883
hearth-70b,Coreline,2877,212,3,stop,3132,2.810860
hearth-70b,NimbusServe,1766,386,0,stop,98225,1.971487
hearth-70b,Fastori,2585,417,3,stop,1373,2.674846
hearth-70b,NimbusServe,1531,328,0,stop,5201,1.614787
hearth-70b,Steadfast,2268,290,0,stop,4631,2.180190
hearth-70b,NimbusServe,2519,298,0,stop,6550,2.426941
hearth-70b,NimbusServe,2771,317,2,stop,7114,2.819821
hearth-70b,Steadfast,2623,431,0,stop,24701,2.851847
hearth-70b,NimbusServe,2853,196,0,stop,6649,2.552485
hearth-70b,Coreline,3505,257,2,stop,2871,3.263234
hearth-70b,Fastori,2049,270,0,stop,1457,1.889851
hearth-70b,Steadfast,2566,437,0,stop,3772,2.913973
hearth-70b,NimbusServe,2627,269,4,stop,5891,2.615291
hearth-70b,NimbusServe,1826,252,0,stop,5517,1.919671
hearth-70b,Steadfast,3361,389,5,stop,3317,3.498099
hearth-70b,Coreline,2973,262,0,stop,2080,2.790923
hearth-70b,NimbusServe,2232,222,0,stop,6674,2.390757
hearth-70b,Fastori,2156,293,0,stop,1380,2.073065
hearth-70b,NimbusServe,2243,300,0,stop,7648,2.104382
hearth-70b,NimbusServe,2105,388,4,stop,6684,2.153831
hearth-70b,NimbusServe,2309,322,0,stop,5506,2.504194
hearth-70b,Fastori,2535,370,10,stop,1386,2.540791
hearth-70b,Steadfast,3153,338,2,stop,4276,3.106568
hearth-70b,NimbusServe,2437,228,0,stop,4845,2.251348
hearth-70b,Fastori,1725,279,0,stop,1309,1.750068
hearth-70b,Fastori,2545,256,0,stop,1526,2.452905
hearth-70b,Steadfast,2606,375,0,stop,4788,2.464218
hearth-70b,NimbusServe,2018,254,1,stop,6636,1.892287
hearth-70b,Fastori,2615,420,0,stop,1738,2.868068
hearth-70b,Steadfast,1655,354,4,stop,2992,1.651894
hearth-70b,Coreline,2871,266,0,stop,2399,2.548829
hearth-70b,Coreline,1944,257,0,stop,2161,2.170455
hearth-70b,Steadfast,2413,363,0,stop,4701,2.692383
hearth-70b,Steadfast,2318,245,4,stop,3626,2.417000
hearth-70b,Fastori,2878,379,0,stop,1345,3.151036
hearth-70b,Coreline,2287,396,3,stop,2085,2.541043
hearth-70b,Steadfast,2846,391,8,stop,4599,3.105746
hearth-70b,Coreline,2188,294,6,stop,2094,2.414983
hearth-70b,Coreline,2647,368,0,stop,2752,2.602635
hearth-70b,NimbusServe,3094,207,1,stop,6040,3.091599
hearth-70b,NimbusServe,1981,285,5,stop,5479,2.065807
hearth-70b,Fastori,2298,323,2,stop,1291,2.234927
hearth-70b,Fastori,1722,233,0,stop,1509,1.670421
hearth-70b,Fastori,2108,235,1,stop,1114,2.120383
hearth-70b,Steadfast,2272,264,0,stop,16283,2.448669
hearth-70b,NimbusServe,1994,306,0,stop,6967,1.988306
hearth-70b,Fastori,3587,342,0,stop,1618,3.728604
hearth-70b,Coreline,3349,342,0,stop,2087,3.547204
hearth-70b,Steadfast,2899,304,0,stop,20030,2.740110
hearth-70b,Coreline,2440,244,3,stop,2481,2.401007
hearth-70b,NimbusServe,2139,339,0,stop,5564,2.319354
hearth-70b,Steadfast,3033,383,3,stop,4044,2.856854
hearth-70b,NimbusServe,2454,351,0,stop,6915,2.643985
hearth-70b,Fastori,2514,447,0,stop,1407,2.700896
hearth-70b,Steadfast,2028,247,0,stop,3679,2.079983
hearth-70b,Coreline,2995,307,5,stop,2305,2.723009
hearth-70b,Steadfast,3111,383,0,stop,4082,3.051788
hearth-70b,Fastori,3287,325,0,stop,1489,3.111493
hearth-70b,NimbusServe,1781,353,0,stop,5292,1.850948
hearth-70b,Coreline,2771,266,0,stop,2617,2.739249
hearth-70b,NimbusServe,2415,367,0,stop,7738,2.531447
hearth-70b,Fastori,1894,190,0,stop,951,1.961001
hearth-70b,Steadfast,2578,290,0,stop,4166,2.376078
hearth-70b,Steadfast,2574,313,5,stop,3475,2.513914
hearth-70b,Coreline,2006,354,0,stop,2523,2.045379
hearth-70b,Fastori,3152,367,0,stop,1487,2.945672
hearth-70b,NimbusServe,2078,393,0,stop,5862,2.209674
hearth-70b,Steadfast,2269,324,2,stop,4156,2.225210
hearth-70b,NimbusServe,3386,398,10,stop,6093,3.292053
hearth-70b,Fastori,1765,389,0,stop,1807,2.004582
hearth-70b,NimbusServe,1535,379,1,stop,6133,1.607875
hearth-70b,NimbusServe,1541,271,0,stop,95727,1.767233
hearth-70b,Steadfast,2948,306,3,stop,5047,3.013061
hearth-70b,NimbusServe,2024,295,1,stop,7676,1.937976
hearth-70b,Steadfast,2320,272,0,stop,3871,2.429965
hearth-70b,Coreline,2315,229,2,stop,2812,2.447036
hearth-70b,NimbusServe,3127,304,2,stop,7815,3.345584
hearth-70b,Fastori,2123,278,0,stop,1713,1.955425
hearth-70b,NimbusServe,2679,363,0,stop,50362,2.923659
hearth-70b,Fastori,2660,264,0,stop,1457,2.681502
hearth-70b,Steadfast,1801,374,0,stop,4089,2.131249
hearth-70b,Coreline,2787,249,4,stop,2559,2.859112
hearth-70b,NimbusServe,2207,365,0,stop,5445,2.500963
hearth-70b,Fastori,1653,351,2,stop,1604,1.701389
hearth-70b,Coreline,2901,319,0,stop,2777,3.090635
hearth-70b,Steadfast,2308,356,0,stop,4092,2.302553
hearth-70b,Fastori,2765,353,3,stop,1920,2.985756
hearth-70b,NimbusServe,2180,255,0,stop,6091,2.073513
hearth-70b,NimbusServe,3376,305,0,stop,5500,3.476245
hearth-70b,Coreline,2658,389,2,stop,2689,2.894369
hearth-70b,Coreline,2440,383,0,stop,2785,2.746864
hearth-70b,NimbusServe,2877,242,0,stop,6785,2.807134
hearth-70b,Steadfast,2541,363,0,stop,3594,2.733115
hearth-70b,Coreline,1573,360,0,stop,2593,1.627281
hearth-70b,Coreline,1397,303,0,stop,2532,1.405707
hearth-70b,NimbusServe,2089,291,8,stop,7748,2.016156
hearth-70b,Fastori,2242,260,0,stop,1548,2.219602
hearth-70b,NimbusServe,1524,376,0,stop,6479,1.554538
hearth-70b,Coreline,1949,404,0,stop,3013,1.972950
hearth-70b,Coreline,1797,458,8,stop,2553,2.224665
hearth-70b,NimbusServe,2469,286,0,stop,86906,2.657349
hearth-70b,NimbusServe,2920,276,0,stop,7586,2.608360
hearth-70b,Coreline,1602,243,0,stop,2547,1.815561
hearth-70b,NimbusServe,2302,322,0,stop,5960,2.469614
hearth-70b,Fastori,2673,259,0,stop,1229,2.761633
hearth-70b,Steadfast,1863,274,2,stop,3781,1.962527
hearth-70b,Coreline,1930,397,0,stop,2401,2.222236
hearth-70b,NimbusServe,2949,367,4,stop,78015,2.861597
hearth-70b,Coreline,2954,411,2,stop,1837,3.316013
hearth-70b,NimbusServe,1421,335,0,stop,5863,1.539170
hearth-70b,Steadfast,3277,299,0,stop,15208,3.009627
hearth-70b,NimbusServe,2674,432,5,stop,7945,2.819057
hearth-70b,Coreline,2019,295,0,stop,2626,2.110580
hearth-70b,Steadfast,3133,380,0,stop,4333,3.371305
hearth-70b,NimbusServe,1907,193,0,stop,72103,1.891238
hearth-70b,Coreline,2755,194,0,stop,2132,2.580322
hearth-70b,NimbusServe,2752,268,4,stop,6210,2.815975
hearth-70b,NimbusServe,2077,192,1,stop,5384,2.209691
hearth-70b,Coreline,2857,303,3,stop,2933,2.754760
hearth-70b,Fastori,2018,282,1,stop,1513,1.948254
hearth-70b,Steadfast,2069,241,2,stop,4099,2.278908
hearth-70b,Steadfast,2679,181,1,stop,25884,2.481756
hearth-70b,NimbusServe,2707,329,1,stop,5666,2.537144
hearth-70b,NimbusServe,2276,346,0,stop,55562,2.433124
hearth-70b,NimbusServe,2106,274,0,stop,7165,2.197369
hearth-70b,Steadfast,1741,273,0,stop,4511,1.808056
hearth-70b,Steadfast,2011,315,0,stop,4453,2.059920
hearth-70b,Coreline,3114,378,4,stop,3101,3.061127
hearth-70b,Steadfast,2143,313,3,stop,4002,2.300379
hearth-70b,Fastori,2643,389,0,stop,1037,2.960934
hearth-70b,NimbusServe,2195,351,0,stop,4747,2.117708
hearth-70b,Fastori,3159,318,0,stop,1221,2.893407
hearth-70b,NimbusServe,2679,344,0,stop,86688,2.478804
hearth-70b,NimbusServe,2403,390,1,stop,5916,2.680880
hearth-70b,Steadfast,2731,350,1,stop,5022,2.643934
hearth-70b,Steadfast,2067,250,4,stop,4292,1.948995
hearth-70b,Coreline,2935,451,0,stop,2668,2.930802
hearth-70b,NimbusServe,1786,479,5,stop,5461,2.154810
hearth-70b,Steadfast,1827,303,6,stop,3667,2.096178
hearth-70b,Fastori,1425,381,4,stop,1517,1.708924
hearth-70b,Coreline,2478,269,0,stop,2201,2.508395
hearth-70b,Steadfast,1829,278,0,stop,4508,2.072399
hearth-70b,Fastori,1896,335,5,stop,1800,2.116226
hearth-70b,NimbusServe,3221,270,3,stop,76369,3.003168
hearth-70b,Steadfast,2927,221,0,stop,4093,2.795278
hearth-70b,Steadfast,2723,402,0,stop,5255,2.693973
hearth-70b,Steadfast,2366,173,3,stop,4516,2.059052
hearth-70b,Coreline,2469,447,6,stop,2940,2.872364
hearth-70b,Steadfast,1724,394,6,stop,4065,1.819323
hearth-70b,Fastori,2236,287,4,stop,1430,2.433606
hearth-70b,Coreline,3068,316,0,stop,2264,3.165567
hearth-70b,Coreline,1935,281,0,stop,13003,1.929005
hearth-70b,Fastori,2855,442,0,stop,1639,3.072085
hearth-70b,NimbusServe,2215,271,2,stop,6325,2.078875
hearth-70b,NimbusServe,2568,244,2,stop,7208,2.294658
hearth-70b,NimbusServe,3059,374,0,stop,109278,3.182587
hearth-70b,NimbusServe,3244,218,5,stop,57744,3.429027
hearth-70b,NimbusServe,1613,278,1,stop,7049,1.712762
hearth-70b,Steadfast,1960,258,4,stop,4170,1.910375
hearth-70b,Coreline,2815,303,3,stop,2825,2.576645
hearth-70b,NimbusServe,1873,415,7,stop,5496,1.861959
hearth-70b,Fastori,1393,178,0,stop,1609,1.340045
hearth-70b,Steadfast,2457,360,2,stop,4542,2.463744
hearth-70b,Fastori,3086,409,0,stop,1380,3.323667
hearth-70b,NimbusServe,2493,409,0,stop,81259,2.619241
hearth-70b,Coreline,2964,369,0,stop,3339,2.819745
hearth-70b,Steadfast,3395,327,0,stop,3597,3.269166
hearth-70b,Fastori,1303,254,3,stop,1246,1.388041
hearth-70b,NimbusServe,2286,390,3,stop,6020,2.182668
hearth-70b,Steadfast,1157,298,0,stop,13679,1.364619
hearth-70b,Fastori,2517,366,0,stop,1240,2.453028
hearth-70b,Steadfast,3073,227,0,stop,4584,2.966915
hearth-70b,Steadfast,2946,346,1,stop,3801,3.127630
hearth-70b,Fastori,2047,409,10,stop,1333,2.245507
hearth-70b,Steadfast,1869,288,0,stop,4534,1.849650
hearth-70b,Coreline,2408,402,0,stop,1873,2.453309
hearth-70b,NimbusServe,3539,356,9,stop,5694,3.848567
hearth-70b,Coreline,1978,422,0,length,2169,2.040159
hearth-70b,Coreline,2799,377,5,stop,2647,2.728360
hearth-70b,NimbusServe,1742,270,0,stop,6506,1.703257
hearth-70b,NimbusServe,2486,437,4,stop,6900,2.419837
hearth-70b,NimbusServe,2002,418,0,stop,6877,2.240290
hearth-70b,Coreline,2939,365,3,stop,2794,2.958859
hearth-70b,Coreline,1733,284,0,stop,2636,1.762315
hearth-70b,Fastori,1177,203,0,stop,1380,1.167143
hearth-70b,NimbusServe,1453,393,5,stop,6773,1.721549
hearth-70b,NimbusServe,2323,282,0,stop,5282,2.127881
hearth-70b,NimbusServe,2901,275,0,stop,5946,2.750429
hearth-70b,Steadfast,1955,308,0,stop,3449,1.995607
hearth-70b,Fastori,2618,334,0,stop,1083,2.597637
hearth-70b,Fastori,3065,344,0,stop,1326,2.880934
hearth-70b,NimbusServe,2007,314,5,stop,5468,2.066301
hearth-70b,NimbusServe,3508,426,0,stop,7834,3.759279
hearth-70b,NimbusServe,2759,362,2,stop,7520,2.549575
hearth-70b,NimbusServe,2058,344,0,stop,4957,2.331342
hearth-70b,NimbusServe,1536,301,0,stop,4956,1.499147
hearth-70b,Steadfast,2223,407,2,stop,4148,2.370448
hearth-70b,Fastori,1813,407,7,stop,1580,1.906285
hearth-70b,Steadfast,2429,237,0,stop,4475,2.385586
hearth-70b,Coreline,1921,319,0,stop,2580,2.207414
hearth-70b,Steadfast,2038,261,2,stop,4215,2.059636
hearth-70b,Steadfast,2349,275,0,stop,4734,2.287383
hearth-70b,Steadfast,1593,272,3,stop,4329,1.563406
hearth-70b,Coreline,3065,229,0,stop,2237,2.977869
hearth-70b,NimbusServe,3058,277,0,stop,6569,3.113954
hearth-70b,Coreline,2338,309,0,stop,2254,2.362753
hearth-70b,Steadfast,2250,385,0,stop,19224,2.598825
hearth-70b,Steadfast,2115,330,3,stop,3824,2.217705
hearth-70b,NimbusServe,2196,345,2,stop,4510,2.370913
hearth-70b,NimbusServe,2298,289,6,stop,7590,2.166998
hearth-70b,Coreline,3543,217,0,stop,2574,3.463577
hearth-70b,NimbusServe,1887,347,0,stop,6983,1.831898
hearth-70b,Coreline,2053,405,0,stop,2892,2.430797
hearth-70b,Coreline,2382,252,1,stop,2761,2.426097
hearth-70b,Fastori,2403,316,0,stop,1487,2.250242
hearth-70b,Coreline,2285,246,1,stop,2512,2.144263
hearth-70b,NimbusServe,2220,242,0,stop,5496,2.332973
hearth-70b,Coreline,2564,458,0,stop,2714,2.585132
hearth-70b,NimbusServe,2057,339,0,stop,6942,2.334427
hearth-70b,NimbusServe,1568,348,0,stop,7211,1.625043
hearth-70b,Fastori,1519,350,1,stop,1271,1.646680
hearth-70b,Steadfast,3314,368,1,stop,22873,3.322175
hearth-70b,Fastori,2485,351,0,stop,1474,2.328379
hearth-70b,Fastori,2394,279,1,stop,1456,2.435168
hearth-70b,Steadfast,2054,256,0,stop,3735,2.166046
hearth-70b,NimbusServe,2900,244,0,stop,5162,2.681492
hearth-70b,Steadfast,2457,386,0,stop,4886,2.400622
hearth-70b,Coreline,2599,425,0,stop,1625,2.560710
hearth-70b,Fastori,2461,274,1,stop,1310,2.322595
hearth-70b,NimbusServe,2663,234,0,stop,5550,2.444085
hearth-70b,Fastori,1763,450,11,stop,1625,2.137020
hearth-70b,NimbusServe,1880,281,1,stop,6785,1.956114
hearth-70b,Steadfast,2221,309,1,stop,3920,2.196539
hearth-70b,NimbusServe,2367,376,6,stop,5570,2.347221
hearth-70b,NimbusServe,2674,285,2,stop,5533,2.827567
hearth-70b,Steadfast,2709,255,0,stop,3080,2.750333
hearth-70b,Fastori,2654,288,0,stop,1648,2.702110
hearth-70b,NimbusServe,2744,175,0,stop,6525,2.705905
hearth-70b,NimbusServe,1674,321,0,stop,4888,1.900530
hearth-70b,Steadfast,3039,391,0,stop,4635,2.803057
hearth-70b,Coreline,2665,323,0,stop,3067,2.522328
hearth-70b,NimbusServe,2394,424,0,stop,5537,2.772007
hearth-70b,Fastori,2339,349,0,stop,1368,2.480676
hearth-70b,NimbusServe,1974,345,2,stop,6218,2.210986
hearth-70b,Coreline,2578,314,0,stop,2449,2.780782
hearth-70b,NimbusServe,2076,277,0,stop,6370,1.918140
hearth-70b,Fastori,2027,347,0,stop,1476,1.978563
hearth-70b,Fastori,2015,304,1,stop,1697,1.907407
hearth-70b,Steadfast,1424,366,0,stop,3335,1.539723
hearth-70b,NimbusServe,2251,453,0,stop,5579,2.541465
hearth-70b,NimbusServe,1612,295,0,stop,6024,1.779927
hearth-70b,Coreline,2209,445,6,stop,2244,2.169447
hearth-70b,Coreline,914,303,2,stop,2953,1.191240
hearth-70b,Fastori,2992,363,4,stop,1838,2.808429
hearth-70b,Coreline,2881,379,3,stop,2619,3.131333
hearth-70b,Coreline,2458,381,4,stop,1835,2.477022
hearth-70b,Coreline,2405,324,0,stop,2607,2.415393
hearth-70b,Coreline,2356,324,10,stop,2138,2.545655
hearth-70b,Fastori,1905,363,0,stop,1600,2.243576
hearth-70b,Coreline,1905,276,0,stop,3081,1.801992
hearth-70b,NimbusServe,2359,295,0,stop,4770,2.315018
hearth-70b,Coreline,3470,321,6,stop,1967,3.519606
hearth-70b,NimbusServe,1245,234,0,stop,5684,1.352608
hearth-70b,Coreline,2053,262,4,stop,2397,2.195495
hearth-70b,NimbusServe,2742,247,3,stop,6422,2.423543
hearth-70b,Steadfast,2495,335,0,stop,4858,2.570794
hearth-70b,Coreline,3384,265,0,stop,2762,3.079162
hearth-70b,NimbusServe,1890,395,0,stop,116855,1.920785
hearth-70b,NimbusServe,3407,278,0,stop,6609,3.454355
hearth-70b,Steadfast,2872,294,0,stop,3727,3.112515
hearth-70b,Fastori,2725,368,0,stop,1481,2.718112
hearth-70b,NimbusServe,1717,397,0,stop,7295,2.046696
hearth-70b,NimbusServe,1975,266,0,stop,5741,2.075737
hearth-70b,NimbusServe,2259,349,0,stop,6988,2.218397
hearth-70b,Coreline,2233,350,4,stop,3303,2.378979
hearth-70b,Fastori,2201,347,0,stop,1621,2.300545
hearth-70b,Fastori,2021,400,2,stop,1578,2.244852
hearth-70b,NimbusServe,1929,329,5,stop,6497,2.095033
hearth-70b,Coreline,1339,315,0,stop,2628,1.547623
hearth-70b,Coreline,1977,269,4,stop,2347,1.987944
hearth-70b,Steadfast,2412,409,2,stop,3792,2.786715
hearth-70b,Fastori,1901,207,0,stop,1578,1.762374
hearth-70b,Coreline,1666,275,1,stop,2322,1.682613
hearth-70b,Steadfast,2581,303,6,stop,3689,2.380610
hearth-70b,Fastori,1917,263,4,stop,1414,1.990931
hearth-70b,NimbusServe,2696,370,1,stop,5001,2.735064
hearth-70b,NimbusServe,1588,315,0,stop,5546,1.567896
hearth-70b,Steadfast,2382,393,4,stop,4489,2.703138
hearth-70b,Steadfast,2346,291,4,stop,4515,2.212527
hearth-70b,Fastori,2192,241,0,stop,1368,2.394475
hearth-70b,NimbusServe,1997,252,7,stop,6617,2.130067
hearth-70b,Steadfast,3384,301,0,stop,3410,3.118909
hearth-70b,Coreline,2958,315,0,stop,1717,3.006790
hearth-70b,NimbusServe,2680,417,3,stop,6145,2.565554
hearth-70b,Fastori,2428,360,0,stop,1522,2.270651
hearth-70b,NimbusServe,3134,408,0,stop,4838,3.368587
hearth-70b,Fastori,2690,217,0,stop,10203,2.822552
hearth-70b,Fastori,1962,202,0,stop,1245,1.774499
hearth-70b,Coreline,3058,326,0,stop,2273,2.833111
hearth-70b,NimbusServe,2637,330,1,stop,6269,2.502371
hearth-70b,Steadfast,2953,294,2,stop,4011,3.095891
hearth-70b,Coreline,2759,329,6,stop,3152,2.582982
hearth-70b,Steadfast,2085,294,0,stop,5030,2.096321
hearth-70b,NimbusServe,2362,408,9,stop,4579,2.574272
hearth-70b,NimbusServe,2093,260,0,stop,5408,2.101710
hearth-70b,Steadfast,1429,424,0,stop,3015,1.639362
hearth-70b,Steadfast,2629,276,4,stop,4909,2.495472
hearth-70b,Steadfast,2504,300,0,stop,4648,2.280151
hearth-70b,Coreline,2896,398,5,stop,2607,3.211625
hearth-70b,Fastori,2222,421,0,stop,1562,2.162650
hearth-70b,NimbusServe,2586,427,1,stop,5643,2.769231
hearth-70b,NimbusServe,2425,254,0,stop,6014,2.355803
hearth-70b,NimbusServe,1772,392,2,stop,50670,2.018740
hearth-70b,Fastori,2416,440,13,stop,1553,2.560534
hearth-70b,NimbusServe,1583,280,1,stop,5894,1.515480
hearth-70b,NimbusServe,2172,329,4,stop,6959,2.303921
hearth-70b,Fastori,1592,315,2,stop,1813,1.802712
hearth-70b,Steadfast,1453,362,0,stop,3837,1.567914
hearth-70b,NimbusServe,2053,285,4,stop,6507,2.226110
hearth-70b,Steadfast,1880,290,0,stop,4152,2.105158
hearth-70b,Coreline,1959,352,2,stop,3134,2.015684
hearth-70b,Steadfast,3112,324,0,stop,2486,3.376009
hearth-70b,NimbusServe,2750,301,3,stop,6130,2.951047
hearth-70b,Fastori,2484,263,3,stop,1312,2.248553
hearth-70b,Fastori,3636,233,2,stop,1182,3.203159
hearth-70b,Steadfast,2460,257,0,stop,4486,2.520236
hearth-70b,NimbusServe,1905,237,2,stop,5784,2.029980
hearth-70b,NimbusServe,3103,259,2,stop,6187,3.064289
hearth-70b,Steadfast,2483,256,1,stop,4253,2.448757
hearth-70b,Steadfast,2335,362,0,stop,4196,2.372463
hearth-70b,Coreline,2771,335,7,stop,2926,3.074211
hearth-70b,Fastori,2505,469,2,stop,1598,2.452729
hearth-70b,Steadfast,3755,336,1,stop,3409,3.365862
hearth-70b,NimbusServe,2603,223,0,stop,5265,2.745934
hearth-70b,Steadfast,1901,310,0,stop,3595,1.942668
hearth-70b,Fastori,2869,303,0,stop,1350,2.775881
hearth-70b,Coreline,2104,248,0,stop,2600,2.051638
hearth-70b,Coreline,3133,362,0,stop,2739,3.064136
hearth-70b,Steadfast,2472,260,0,stop,4443,2.586543
hearth-70b,Coreline,3000,349,4,stop,2453,2.743085
hearth-70b,NimbusServe,2427,359,0,stop,6843,2.389791
hearth-70b,NimbusServe,2093,291,4,stop,6491,2.345555
hearth-70b,Fastori,1822,255,1,stop,1321,1.953108
hearth-70b,Steadfast,2430,411,4,stop,3261,2.804981
hearth-70b,Steadfast,2003,317,0,stop,4200,2.276482
hearth-70b,Coreline,1954,281,4,stop,2531,1.866228
hearth-70b,Steadfast,2969,286,0,stop,4152,3.061925
hearth-70b,Fastori,2734,272,0,stop,1468,2.648300
hearth-70b,NimbusServe,1720,390,0,stop,6846,1.744451
hearth-70b,Fastori,1760,322,0,stop,1633,1.798192
hearth-70b,NimbusServe,2634,303,0,stop,5816,2.846376
hearth-70b,Coreline,1448,247,3,stop,2276,1.628871
hearth-70b,Steadfast,2628,332,0,stop,3945,2.821449
hearth-70b,Coreline,2118,272,0,stop,1900,2.030747
hearth-70b,Fastori,2133,240,1,stop,1449,1.994689
hearth-70b,Coreline,2462,270,0,stop,2489,2.477120
hearth-70b,Steadfast,2053,249,0,stop,4023,1.978769
hearth-70b,NimbusServe,1936,356,2,stop,6622,1.940598
